name,description,url,cleaned_desc
airframe-react,Free Open Source High Quality Dashboard based on Bootstrap 4 & React 16: https://airframe-react-lime.vercel.app,https://github.com/0wczar/airframe-react,Free Open Source High Quality Dashboard based on Bootstrap
AIOS,AIOS: AI Agent Operating System,https://github.com/agiresearch/AIOS,OS: AI Agent Operating System
KMS_VL_ALL_AIO,Smart Activation Script,https://github.com/abbodi1406/KMS_VL_ALL_AIO,Smart Activation Script
aichat,"All-in-one LLM CLI tool featuring Shell Assistant, Chat-REPL, RAG, AI Tools & Agents, with access to OpenAI, Claude, Gemini, Ollama, Groq, and more.",https://github.com/sigoden/aichat,"All-in-one LLM CLI tool featuring Shell Assistant, Chat-REPL, RAG, AI Tools & Agents, with access to OpenAI, Claude, Gemini, Ollama, Groq, and more."
AI-System,System for AI Education Resource.,https://github.com/microsoft/AI-System,System for AI Education Resource.
plate,A rich-text editor powered by AI,https://github.com/udecode/plate,rich-text editor powered by AI
ai-beehive,AI 蜂巢，基于 Java 使用 Spring Boot 3 和 JDK 17，支持的功能有 ChatGPT、OpenAi Image、Midjourney、NewBing、文心一言等等,https://github.com/hncboy/ai-beehive,Java Spring Boot
aind2-cnn,AIND Term 2 -- Lesson on Convolutional Neural Networks,https://github.com/udacity/aind2-cnn,Lesson on Convolutional Neural Networks
ai-toolkit,Various AI scripts. Mostly Stable Diffusion stuff.,https://github.com/ostris/ai-toolkit,Various AI scripts. Mostly Stable Diffusion stuff.
PraisonAI,"PraisonAI is a production-ready Multi AI Agents framework, designed to create AI Agents to automate and solve problems ranging from simple tasks to complex challenges. It provides a low-code solution to streamline the building and management of multi-agent LLM systems, emphasising simplicity, customisation, and effective human-agent collaboration.",https://github.com/MervinPraison/PraisonAI,"PraisonAI is a production-ready Multi AI Agents framework, designed to create AI Agents to automate and solve problems ranging from simple tasks to complex challenges. It provides a low-code solution to streamline the building and management of multi-agent LLM systems, emphasising simplicity, customisation, and effective human-agent collaboration."
AI-Writer,AI 写小说，生成玄幻和言情网文等等。中文预训练生成模型。采用我的 RWKV 模型，类似 GPT-2 。AI写作。RWKV for Chinese novel generation.,https://github.com/BlinkDL/AI-Writer,RWKV GPT-2 AIRWKV for Chinese novel generation.
AICommand,ChatGPT integration with Unity Editor,https://github.com/keijiro/AICommand,ChatGPT integration with Unity Editor
ai-agents-for-beginners,10 Lessons to Get Started Building AI Agents,https://github.com/microsoft/ai-agents-for-beginners,Lessons to Get Started Building AI Agents
novel,Notion-style WYSIWYG editor with AI-powered autocompletion.,https://github.com/steven-tey/novel,Notion-style WYSIWYG editor with AI-powered autocompletion.
imaginAIry,Pythonic AI generation of images and videos,https://github.com/brycedrennan/imaginAIry,Pythonic AI generation of images and videos
NarratoAI,利用AI大模型，一键解说并剪辑视频； Using AI models to automatically provide commentary and edit videos with a single click.,https://github.com/linyqh/NarratoAI,Using AI models to automatically provide commentary and edit videos with a single click.
AI_Tutorial,精选机器学习，NLP，图像识别， 深度学习等人工智能领域学习资料，搜索，推荐，广告系统架构及算法技术资料整理。算法大牛笔记汇总,https://github.com/cbamls/AI_Tutorial,NLP
jQuery-menu-aim,jQuery plugin to fire events when user's cursor aims at particular dropdown menu items. For making responsive mega dropdowns like Amazon's.,https://github.com/kamens/jQuery-menu-aim,Query plugin to fire events when users cursor aims at particular dropdown menu items. For making responsive mega dropdowns like Amazons.
AiyaEffectsAndroid,"宝宝特效Demo通过短视频SDK、直播SDK轻松实现特效与视频剪辑，为用户提供特效相机，拍摄辅助，自动美颜相机，抖音滤镜、直播礼物、直播贴纸等，超低占用空间，十秒大型场景仅100KB+， 精准人脸识别、人脸跟踪，支持3D特效，3D动画特效，2D特效、动画渲染、特效渲染等,  visual effects IOS demo, support 3D effect, 3D Animation, 2D effect",https://github.com/aiyaapp/AiyaEffectsAndroid,"D, visual effects IOS demo, support"
AirMapView,A view abstraction to provide a map user interface with various underlying map providers,https://github.com/airbnb/AirMapView,view abstraction to provide a map user interface with various underlying map providers
law-cn-ai,⚖️ AI 法律助手,https://github.com/lvwzhen/law-cn-ai,AI
AITemplate,AITemplate is a Python framework which renders neural network into high performance CUDA/HIP C++ code. Specialized for FP16 TensorCore (NVIDIA GPU) and MatrixCore (AMD GPU) inference.,https://github.com/facebookincubator/AITemplate,Template is a Python framework which renders neural network into high performance CUDAHIP C++ code. Specialized for FP16 TensorCore (NVIDIA GPU) and MatrixCore (AMD GPU) inference.
mathAI,一个拍照做题程序。输入一张包含数学计算题的图片，输出识别出的数学计算式以及计算结果。This is a mathematic expression recognition project.,https://github.com/Roujack/mathAI,a mathematic expression recognition project.
airpal,Web UI for PrestoDB.,https://github.com/airbnb/airpal,Web UI for PrestoDB.
SnakeAI,Train a Neural Network to play Snake using a Genetic Algorithm,https://github.com/greerviau/SnakeAI,Train a Neural Network to play Snake using a Genetic Algorithm
metaflow,"Build, Deploy and Manage AI/ML Systems",https://github.com/Netflix/metaflow,"Build, Deploy and Manage AI"
TagUI,Free RPA tool by AI Singapore,https://github.com/aisingapore/TagUI,Free RPA tool by AI Singapore
GenerativeAIExamples,Generative AI reference workflows optimized for accelerated infrastructure and microservice architecture.,https://github.com/NVIDIA/GenerativeAIExamples,Generative AI reference workflows optimized for accelerated infrastructure and microservice architecture.
AISuperDomain,"Aila(AI超元域): The premier AI integration tool for Windows, macOS, and Android. Ask once, get answers from 10+ AIs like ChatGPT, Gemini, Claude3, Copilot, Poe, perplexity and more. Features customizable AI and prompts.",https://github.com/win4r/AISuperDomain,"la(AI): The premier AI integration tool for Windows, macOS, and Android. Ask once, get answers from 10+ AIs like ChatGPT, Gemini, Claude3, Copilot, Poe, perplexity and more. Features customizable AI and prompts."
ai_projects,AI projects,https://github.com/miguelgfierro/ai_projects,projects
ai-engineering-hub,,https://github.com/patchy631/ai-engineering-hub,
Vitis-AI,"Vitis AI is Xilinx’s development stack for AI inference on Xilinx hardware platforms, including both edge devices and Alveo cards.",https://github.com/Xilinx/Vitis-AI,"Vitis AI is Xilinxs development stack for AI inference on Xilinx hardware platforms, including both edge devices and Alveo cards."
aim,Aim 💫 — An easy-to-use & supercharged open-source experiment tracker.,https://github.com/aimhubio/aim,m An easy-to-use & supercharged open-source experiment tracker.
ai2thor,An open-source platform for Visual AI.,https://github.com/allenai/ai2thor,An open-source platform for Visual AI.
practicalAI-cn,AI实战-practicalAI 中文版,https://github.com/MLEveryday/practicalAI-cn,-practicalAI
open-health,"OpenHealth, AI Health Assistant | Powered by Your Data",https://github.com/OpenHealthForAll/open-health,"OpenHealth, AI Health Assistant"
self-hosted-ai-starter-kit,"The Self-hosted AI Starter Kit is an open-source template that quickly sets up a local AI environment. Curated by n8n, it provides essential tools for creating secure, self-hosted AI workflows.",https://github.com/n8n-io/self-hosted-ai-starter-kit,"Self-hosted AI Starter Kit is an open-source template that quickly sets up a local AI environment. Curated by n8n, it provides essential tools for creating secure, self-hosted AI workflows."
Genesis,A generative world for general-purpose robotics & embodied AI learning.,https://github.com/Genesis-Embodied-AI/Genesis,generative world for general-purpose robotics & embodied AI learning.
AIPND,Code and associated files for the AI Programming with Python Nanodegree Program,https://github.com/udacity/AIPND,Code and associated files for the AI Programming with Python Nanodegree Program
FlagAI,"FlagAI (Fast LArge-scale General AI models) is a fast, easy-to-use and extensible toolkit for large-scale model.",https://github.com/FlagAI-Open/FlagAI,"FlagAI (Fast LArge-scale General AI models) is a fast, easy-to-use and extensible toolkit for large-scale model."
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,500 AI Machine learning Deep learning Computer vision NLP Projects with code,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,Machine learning Deep learning Computer vision NLP2Projects with code
aima-java,"Java implementation of algorithms from Russell And Norvig's ""Artificial Intelligence - A Modern Approach""",https://github.com/aimacode/aima-java,Java implementation of algorithms from Russell And Norvig
ai-roadmap,ApacheCN AI 路线图（知识树）,https://github.com/apachecn/ai-roadmap,ApacheCN AI
airflow-tutorial,Apache Airflow tutorial,https://github.com/tuanavu/airflow-tutorial,Apache Airflow tutorial
AiYaGirl,:fire: 爱吖妹纸（含 Kotlin 分支版本）——Retrofit + RxJava + MVP 架构 APP 体验代码家的干货集中营 Gank.io，福利多多，不容错过,https://github.com/nanchen2251/AiYaGirl,Kotlin Retrofit + RxJava + MVP APP Gank.
docker-airflow,Docker Apache Airflow,https://github.com/puckel/docker-airflow,Docker Apache Airflow
ai-codereviewer,"AI Code Reviewer: Enhance your GitHub workflow with AI-powered code review! Get intelligent feedback and suggestions on pull requests using OpenAI's GPT-4 API, improving code quality and saving developers time.",https://github.com/aidar-freeed/ai-codereviewer,"Code Reviewer: Enhance your GitHub workflow with AI-powered code review! Get intelligent feedback and suggestions on pull requests using OpenAIs GPT-4 API, improving code quality and saving developers time."
julep,Serverless AI Workflows for Data & ML Teams,https://github.com/julep-ai/julep,Serverless AI Workflows for Data & ML Teams
superagent,🥷 Run AI-agents with an API,https://github.com/superagent-ai/superagent,Run AI-agents with an API
atomic-agents,"Building AI agents, atomically",https://github.com/BrainBlend-AI/atomic-agents,"Building AI agents, atomically"
sweep,Sweep: AI coding assistant for JetBrains,https://github.com/sweepai/sweep,Sweep: AI coding assistant for JetBrains
KoboldAI-Client,"For GGUF support, see KoboldCPP: https://github.com/LostRuins/koboldcpp",https://github.com/KoboldAI/KoboldAI-Client,"For GGUF support, see KoboldCPP:"
simpleaichat,"Python package for easily interfacing with chat apps, with robust features and minimal code complexity.",https://github.com/minimaxir/simpleaichat,"Python package for easily interfacing with chat apps, with robust features and minimal code complexity."
AI-Job-Notes,AI算法岗求职攻略（涵盖准备攻略、刷题指南、内推和AI公司清单等资料）,https://github.com/amusi/AI-Job-Notes,
kornia,🐍 Geometric Computer Vision Library for Spatial AI,https://github.com/kornia/kornia,Geometric Computer Vision Library for Spatial AI
MetaGPT,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",https://github.com/geekan/MetaGPT,"Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
lite.ai.toolkit,"🛠 A lite C++ toolkit of 100+ Awesome AI models, support ORT, MNN, NCNN, TNN and TensorRT. 🎉🎉",https://github.com/DefTruth/lite.ai.toolkit,"lite C++ toolkit of 100+ Awesome AI models, support ORT, MNN, NCNN, TNN and TensorRT."
cookbook,Open-source AI cookbook,https://github.com/huggingface/cookbook,Open-source AI cookbook
morphic,An AI-powered search engine with a generative UI,https://github.com/miurla/morphic,An AI-powered search engine with a generative UI
AIAlpha,Use unsupervised and supervised learning to predict stocks,https://github.com/VivekPa/AIAlpha,Use unsupervised and supervised learning to predict stocks
Efficient-AI-Backbones,"Efficient AI Backbones including GhostNet, TNT and MLP, developed by Huawei Noah's Ark Lab.",https://github.com/huawei-noah/Efficient-AI-Backbones,"Efficient AI Backbones including GhostNet, TNT and MLP, developed by Huawei Noahs Ark Lab."
AI,"The ultimate list of resources to teach yourself how to use the latest AI tools, frameworks, and ideas.",https://github.com/emmethalm/AI,"ultimate list of resources to teach yourself how to use the latest AI tools, frameworks, and ideas."
jupyter-ai,A generative AI extension for JupyterLab,https://github.com/jupyterlab/jupyter-ai,generative AI extension for JupyterLab
aiyprojects-raspbian," API libraries, samples, and system images for AIY Projects (Voice Kit and Vision Kit)",https://github.com/google/aiyprojects-raspbian,"API libraries, samples, and system images for AIY Projects (Voice Kit and Vision Kit"
openui,"OpenUI let's you describe UI using your imagination, then see it rendered live.",https://github.com/wandb/openui,"OpenUI lets you describe UI using your imagination, then see it rendered live."
TaskingAI,The open source platform for AI-native application development.,https://github.com/TaskingAI/TaskingAI,open source platform for AI-native application development.
cofounder,"ai-generated apps , full stack + generative UI",https://github.com/raidendotai/cofounder,"-generated apps, full stack + generative UI"
h5ai,"HTTP web server index for Apache httpd, lighttpd and nginx.",https://github.com/lrsjng/h5ai,"HTTP web server index for Apache httpd, lighttpd and nginx."
aimet,AIMET is a library that provides advanced quantization and compression techniques for trained neural network models.,https://github.com/quic/aimet,MET is a library that provides advanced quantization and compression techniques for trained neural network models.
panda,code powering the comma.ai panda,https://github.com/commaai/panda,code powering the comma.ai panda
ML-YouTube-Courses,📺 Discover the latest machine learning / AI courses on YouTube.,https://github.com/dair-ai/ML-YouTube-Courses,Discover the latest machine learning AI courses on YouTube.
aws-serverless-airline-booking,"Airline Booking is a sample web application that provides Flight Search, Flight Payment, Flight Booking and Loyalty points including end-to-end testing, GraphQL and CI/CD. This web application was the theme of Build on Serverless Season 2 on AWS Twitch running from April 24th until end of August in 2019.",https://github.com/aws-samples/aws-serverless-airline-booking,"rline Booking is a sample web application that provides Flight Search, Flight Payment, Flight Booking and Loyalty points including end-to-end testing, GraphQL and CICD. This web application was the theme of Build on Serverless Season 2 on AWS Twitch running from April 24th until end of August in 2019."
ai,,https://github.com/Marshakut8dy9lWfi33i1dnynn/ai,
air-conditioner,❄️ Yun Portable Air Conditoner. 云空调，便携小空调，为你的夏日带去清凉！,https://github.com/YunYouJun/air-conditioner,Yun Portable Air Conditoner.
aimeos,"Integrated online shop based on Laravel 11 and the Aimeos e-commerce framework for ultra-fast online shops, scalable marketplaces, complex B2B applications and #gigacommerce",https://github.com/aimeos/aimeos,Integrated online shop based on Laravel
yousan.ai,Awesome resources of yousan.ai(closely related to deep learning).,https://github.com/longpeng2008/yousan.ai,Awesome resources of yousan.
aiva,AIVA (A.I. Virtual Assistant): General-purpose virtual assistant for developers.,https://github.com/kengz/aiva,VA (A. I. Virtual Assistant): General-purpose virtual assistant for developers.
AI_Curriculum,"Open Deep Learning and Reinforcement Learning lectures from top Universities like Stanford, MIT, UC Berkeley.",https://github.com/Machine-Learning-Tokyo/AI_Curriculum,"Open Deep Learning and Reinforcement Learning lectures from top Universities like Stanford, MIT, UC Berkeley."
ai-getting-started,"A Javascript AI getting started stack for weekend projects, including image/text models, vector stores, auth, and deployment configs",https://github.com/a16z-infra/ai-getting-started,"Javascript AI getting started stack for weekend projects, including image"
OpenAI,Swift community driven package for OpenAI public API,https://github.com/MacPaw/OpenAI,Swift community driven package for OpenAI public API
feast,The Open Source Feature Store for AI/ML,https://github.com/feast-dev/feast,Open Source Feature Store for AI
god-level-ai,"A collection of scientific methods, processes, algorithms, and systems to build stories & models.",https://github.com/hemansnation/god-level-ai,"collection of scientific methods, processes, algorithms, and systems to build stories & models."
interviews.ai,"It is my belief that you, the postgraduate students and job-seekers for whom the book is primarily meant will benefit from reading it; however, it is my hope that even the most experienced researchers will find it fascinating as well.",https://github.com/BoltzmannEntropy/interviews.ai,"It is my belief that you, the postgraduate students and job-seekers for whom the book is primarily meant will benefit from reading it; however, it is my hope that even the most experienced researchers will find it fascinating as well."
website-legacy-aio,All-in-one Holy Unblocker bundle,https://github.com/holy-unblocker/website-legacy-aio,All-in-one Holy Unblocker bundle
document.ai,基于向量数据库与GPT3.5的通用本地知识库方案(A universal local knowledge base solution based on vector database and GPT3.5),https://github.com/GanymedeNil/document.ai,GPT3. A universal local knowledge base solution based on vector database and GPT3.
wav2letter,Facebook AI Research's Automatic Speech Recognition Toolkit ,https://github.com/flashlight/wav2letter,s Automatic Speech Recognition Toolkit
AiEditor,AiEditor is a next-generation rich text editor for AI.,https://github.com/aieditor-team/AiEditor,Editor is a next-generation rich text editor for AI.
midscene,Let AI be your browser operator.,https://github.com/web-infra-dev/midscene,Let AI be your browser operator.
TransmogrifAI,"TransmogrifAI (pronounced trăns-mŏgˈrə-fī) is an AutoML library for building modular, reusable, strongly typed machine learning workflows on Apache Spark with minimal hand-tuning",https://github.com/salesforce/TransmogrifAI,TransmogrifAI (pronounced tr
gitingest,Replace 'hub' with 'ingest' in any github url to get a prompt-friendly extract of a codebase ,https://github.com/cyclotruc/gitingest,in any github url to get a prompt-friendly extract of a codebase
AiNiee,一款专注于Ai翻译的工具，可以用来一键自动翻译RPG SLG游戏，Epub Word TXT小说，Srt Vtt Lrc字幕等等。,https://github.com/NEKOparapa/AiNiee,RPG SLGEpub Word TXTSrt Vtt Lrc
aiac,Artificial Intelligence Infrastructure-as-Code Generator.,https://github.com/gofireflyio/aiac,Artificial Intelligence Infrastructure-as-Code Generator.
ai-code-translator,Use AI to translate code from one language to another.,https://github.com/mckaywrigley/ai-code-translator,Use AI to translate code from one language to another.
AI,Repository for artificial intelligence programs. The programs in this repository will vary on the programming language and the subjects. The code is really neat and specific.,https://github.com/flovera1/AI,Repository for artificial intelligence programs. The programs in this repository will vary on the programming language and the subjects. The code is really neat and specific.
photoprism,AI-Powered Photos App for the Decentralized Web 🌈💎✨,https://github.com/photoprism/photoprism,-Powered Photos App for the Decentralized Web
AirChat,Free Communications For Everyone.,https://github.com/lulzlabs/AirChat,Free Communications For Everyone.
ai-fundamentals,Code samples for AI fundamentals,https://github.com/MicrosoftDocs/ai-fundamentals,Code samples for AI fundamentals
airplay2-receiver,AirPlay 2 Receiver - Python implementation,https://github.com/openairplay/airplay2-receiver,Receiver - Python implementation
ai-agents-masterclass,Follow along with my AI Agents Masterclass videos! All of the code I create and use in this series on YouTube will be here for you to use and even build on top of!,https://github.com/coleam00/ai-agents-masterclass,Follow along with my AI Agents Masterclass videos! All of the code I create and use in this series on YouTube will be here for you to use and even build on top of!
awful-ai,😈Awful AI is a curated list to track current scary usages of AI - hoping to raise awareness,https://github.com/daviddao/awful-ai,Awful AI is a curated list to track current scary usages of AI - hoping to raise awareness
musegan,An AI for Music Generation,https://github.com/salu133445/musegan,An AI for Music Generation
AppFlowy,"Bring projects, wikis, and teams together with AI. AppFlowy is the AI collaborative workspace where you achieve more without losing control of your data. The leading open source Notion alternative.",https://github.com/AppFlowy-IO/AppFlowy,"Bring projects, wikis, and teams together with AI. AppFlowy is the AI collaborative workspace where you achieve more without losing control of your data. The leading open source Notion alternative."
krita-ai-diffusion,"Streamlined interface for generating images with AI in Krita. Inpaint and outpaint with optional text prompt, no tweaking required.",https://github.com/Acly/krita-ai-diffusion,"Streamlined interface for generating images with AI in Krita. Inpaint and outpaint with optional text prompt, no tweaking required."
simple-chess-ai,A simple chess AI,https://github.com/lhartikk/simple-chess-ai,simple chess AI
system-prompts-and-models-of-ai-tools,,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,
vault-ai,"OP Vault ChatGPT: Give ChatGPT long-term memory using the OP Stack (OpenAI + Pinecone Vector Database). Upload your own custom knowledge base files (PDF, txt, epub, etc) using a simple React frontend.",https://github.com/pashpashpash/vault-ai,"OP Vault ChatGPT: Give ChatGPT long-term memory using the OP Stack (OpenAI + Pinecone Vector Database). Upload your own custom knowledge base files (PDF, txt, epub, etc) using a simple React frontend."
AirGuard,Protect yourself from being tracked 🌍 by AirTags 🏷 and Find My accessories 📍,https://github.com/seemoo-lab/AirGuard,Protect yourself from being tracked by AirTags and Find My accessories
uTensor,TinyML AI inference library,https://github.com/uTensor/uTensor,TinyML AI inference library
AIRAVAT,A multifunctional Android RAT with GUI based Web Panel without port forwarding.,https://github.com/Th30neAnd0nly/AIRAVAT,multifunctional Android RAT with GUI based Web Panel without port forwarding.
aibrix,Cost-efficient and pluggable Infrastructure components for GenAI inference,https://github.com/vllm-project/aibrix,Cost-efficient and pluggable Infrastructure components for GenAI inference
civitai,"A repository of models, textual inversions, and more",https://github.com/civitai/civitai,"repository of models, textual inversions, and more"
GameAISDK,基于图像的游戏AI自动化框架,https://github.com/Tencent/GameAISDK,
lab,A customisable 3D platform for agent-based AI research,https://github.com/google-deepmind/lab,D platform for agent-based AI research
ContosoAir,Source code repository for ContosoAir application ,https://github.com/microsoft/ContosoAir,Source code repository for ContosoAir application
AI-900-AIFundamentals,Includes labs for AI Fundamentals. ,https://github.com/MicrosoftLearning/AI-900-AIFundamentals,Includes labs for AI Fundamentals.
BotSharp,AI Multi-Agent Framework in .NET,https://github.com/SciSharp/BotSharp,Multi-Agent Framework in.
ai-chatbot-framework,A python chatbot framework with Natural Language Understanding and Artificial Intelligence.,https://github.com/alfredfrancis/ai-chatbot-framework,python chatbot framework with Natural Language Understanding and Artificial Intelligence.
EmbedAI,"An app to interact privately with your documents using the power of GPT, 100% privately, no data leaks",https://github.com/SamurAIGPT/EmbedAI,"An app to interact privately with your documents using the power of GPT,"
Reinforcement-learning-with-tensorflow,"Simple Reinforcement learning tutorials, 莫烦Python 中文AI教学",https://github.com/MorvanZhou/Reinforcement-learning-with-tensorflow,"Simple Reinforcement learning tutorials, Python AI"
HivisionIDPhotos,⚡️HivisionIDPhotos: a lightweight and efficient AI ID photos tools. 一个轻量级的AI证件照制作算法。,https://github.com/Zeyi-Lin/HivisionIDPhotos,HivisionIDPhotos: a lightweight and efficient AI ID photos tools.
deeplearning.ai,Some work of Andrew Ng's course on Coursera,https://github.com/JudasDie/deeplearning.ai,Some work of Andrew Ng
marvin,✨ AI agents that spark joy,https://github.com/PrefectHQ/marvin,agents that spark joy
AI-Crash-Course,AI Crash Course to help busy builders catch up to the public frontier of AI research in 2 weeks,https://github.com/henrythe9th/AI-Crash-Course,Crash Course to help busy builders catch up to the public frontier of AI research in
awesome-ai-residency,List of AI Residency Programs,https://github.com/dangkhoasdc/awesome-ai-residency,List of AI Residency Programs
Wechat_AutoJump,AI plays WeChat Jump Game,https://github.com/Prinsphield/Wechat_AutoJump,plays WeChat Jump Game
Awesome-AITools,Collection of AI-related utilities. Welcome to submit issues and pull requests /收藏AI相关的实用工具，欢迎提交issues 或者pull requests,https://github.com/ikaijua/Awesome-AITools,Collection of AI-related utilities.
snake-ai,"An AI agent that beats the classic game ""Snake"".",https://github.com/linyiLYi/snake-ai,An AI agent that beats the classic game Snake.
aifh,Artificial Intelligence for Humans,https://github.com/jeffheaton/aifh,Artificial Intelligence for Humans
AimRT,A high-performance runtime framework for modern robotics.,https://github.com/AimRT/AimRT,high-performance runtime framework for modern robotics.
poker_ai,🤖 An Open Source Texas Hold'em AI,https://github.com/fedden/poker_ai,An Open Source Texas Hold
AiPy,Python机器学习、深度学习算法开发等学习资源分享,https://github.com/aialgorithm/AiPy,Python
NeMo,"A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)",https://github.com/NVIDIA/NeMo,"scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech"
aiwallpaper,AI Wallpaper Generator,https://github.com/all-in-aigc/aiwallpaper,Wallpaper Generator
qrbtf,AI & parametric QR code generator. AI & 参数化二维码生成器。https://qrbtf.com,https://github.com/latentcat/qrbtf,& parametric QR code generator.
deeplake,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai",https://github.com/activeloopai/deeplake,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMsLangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorchTensorFlow."
lollms-webui,Lord of Large Language and Multi modal Systems Web User Interface,https://github.com/ParisNeo/lollms-webui,Lord of Large Language and Multi modal Systems Web User Interface
aide,The open-source AI-native IDE,https://github.com/codestoryai/aide,open-source AI-native IDE
LayaAir,LayaAir is a fully platform rendering engine with rich 2D/3D rendering capabilities and a mature integrated development platform,https://github.com/layabox/LayaAir,LayaAir is a fully platform rendering engine with rich
generative-ai-docs,Documentation for Google's Gen AI site - including the Gemini API and Gemma,https://github.com/google/generative-ai-docs,Documentation for Google
pywit,Python library for Wit.ai,https://github.com/wit-ai/pywit,Python library for Wit.
DeepBI,"LLM based data scientist, AI native data application.  AI-driven infinite thinking redefines BI.",https://github.com/DeepInsight-AI/DeepBI,"LLM based data scientist, AI native data application. AI-driven infinite thinking redefines BI."
awesome-apache-airflow,Curated list of resources about Apache Airflow,https://github.com/jghoman/awesome-apache-airflow,Curated list of resources about Apache Airflow
TavernAI,"Atmospheric adventure chat for AI language models (KoboldAI, NovelAI, Pygmalion, OpenAI chatgpt, gpt-4)",https://github.com/TavernAI/TavernAI,"Atmospheric adventure chat for AI language models (KoboldAI, NovelAI, Pygmalion, OpenAI chatgpt, gpt-"
Deep-Learning-Coursera,"Deep Learning Specialization by Andrew Ng, deeplearning.ai.",https://github.com/enggen/Deep-Learning-Coursera,"Deep Learning Specialization by Andrew Ng, deeplearning."
node-wit,Node.js SDK for Wit.ai,https://github.com/wit-ai/node-wit,Node. SDK for Wit.
dlcourse_ai,Материалы курса Deep Learning на пальцах,https://github.com/sim0nsays/dlcourse_ai,Deep Learning
AirSLAM,🚀 AirVO upgrades to AirSLAM [TRO]🚀,https://github.com/sair-lab/AirSLAM,rVO upgrades to AirSLAM
airbrake,The official Airbrake library for Ruby applications,https://github.com/airbrake/airbrake,official Airbrake library for Ruby applications
fairseq-lua,Facebook AI Research Sequence-to-Sequence Toolkit,https://github.com/facebookresearch/fairseq-lua,Facebook AI Research Sequence-to-Sequence Toolkit
aie-book,"[WIP] Resources for AI engineers. Also contains supporting materials for the book AI Engineering (Chip Huyen, 2025)",https://github.com/chiphuyen/aie-book,WIP Resources for AI engineers.
letta,Letta (formerly MemGPT) is a framework for creating LLM services with memory.,https://github.com/letta-ai/letta,Letta (formerly MemGPT) is a framework for creating LLM services with memory.
open-ai,"OpenAI PHP SDK : Most downloaded, forked, contributed, huge community supported, and used PHP (Laravel , Symfony, Yii, Cake PHP or any PHP framework) SDK for OpenAI GPT-3 and DALL-E. It also supports chatGPT-like streaming. (ChatGPT AI is supported)",https://github.com/orhanerday/open-ai,"OpenAI PHP SDK: Most downloaded, forked, contributed, huge community supported, and used PHP (Laravel, Symfony, Yii, Cake PHP or any PHP framework) SDK for OpenAI GPT-3 and DALL-E. It also supports chatGPT-like streaming."
AI,,https://github.com/StudioTV/AI,
aidea-server,AIdea 是一款支持 GPT  以及国产大语言模型通义千问、文心一言等，支持 Stable Diffusion 文生图、图生图、 SDXL1.0、超分辨率、图片上色的全能型 APP。,https://github.com/mylxsw/aidea-server,dea GPT Stable Diffusion SDXL1.
aigcpanel,AigcPanel 是一个简单易用的一站式AI数字人系统，支持视频合成、声音合成、声音克隆，简化本地模型管理、一键导入和使用AI模型。,https://github.com/modstart-lib/aigcpanel,gcPanel AIAI
aima-exercises,Exercises for the book Artificial Intelligence: A Modern Approach,https://github.com/aimacode/aima-exercises,Exercises for the book Artificial Intelligence: A Modern Approach
airtable.js,Airtable javascript client,https://github.com/Airtable/airtable.js,rtable javascript client
mesop,Rapidly build AI apps in Python,https://github.com/google/mesop,Rapidly build AI apps in Python
cognee,Reliable LLM Memory for AI Applications and AI Agents,https://github.com/topoteretes/cognee,Reliable LLM Memory for AI Applications and AI Agents
pocketpal-ai,An app that brings language models directly to your phone.,https://github.com/a-ghorbani/pocketpal-ai,An app that brings language models directly to your phone.
LLMs-in-Finance,LLMs in Finance - Generative AI - AI Agents ,https://github.com/hananedupouy/LLMs-in-Finance,LLMs in Finance - Generative AI - AI Agents
fiftyone,Refine high-quality datasets and visual AI models,https://github.com/voxel51/fiftyone,Refine high-quality datasets and visual AI models
AiQiangGUO,Ai强国 基于Autojs实现的模拟点击学习强国辅助工具 适配安卓,https://github.com/zhuxuedefeng/AiQiangGUO,Autojs
Python-ai-assistant,Python AI assistant 🧠,https://github.com/ggeop/Python-ai-assistant,Python AI assistant
Girls-In-AI,免费学代码系列：小白python入门、数据分析data analyst、机器学习machine learning、深度学习deep learning、kaggle实战,https://github.com/girls-in-ai/Girls-In-AI,pythondata analystmachine learningdeep learningkaggle
sharegpt,Easily share permanent links to ChatGPT conversations with your friends,https://github.com/domeccleston/sharegpt,Easily share permanent links to ChatGPT conversations with your friends
